P_sat (Pa) at 298.15K, Delta_H (kJ/mol) at 298.15K, SMILES, carbon_number, ASA_carbon_number, aromatic_ring, non_aromatic_ring,double_bound_nonaromatic_ring, nonaromatic_CCCO, hydroxyl, aldehyde, ketone, carboxylic_acid,ester, ether, alicyclic_ether, aromatic_ether, nitrate, nitro, aromatic_hydroxyl, primary_amine,secondary_amine, tertiary_amine, aromatic_amine, primary_amide, secondary_amide, tertiary_amide,carbonylperoxynitrate, peroxide, hydroperoxide, peroxide_acid, nitrophenol, nitroester,log P_sat(T) [atm], Antoine_Eq for logP_sat(T) [atm], Enthalpy of vaporization (kJ/mol)
9676.46, 37.1, COO, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -858.52/T + (-4.3) + (0.01*T) + (0.54*log(T)), -, 16439.21 - (-0.2/T**2) - (-10.36/T)
3764.58, 43.19, CC(=O)OO, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -2087.5/T + (0.99) + (-0.0*T) + (0.86*log(T)), -, 39971.84 - (0.02/T**2) - (-16.38/T)
0.88, 75.84, CCCCC(CC)C(=O)O, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4515.72/T + (6.37) + (-0.01*T) + (1.19*log(T)), -, 86467.9 - (0.2/T**2) - (-22.73/T)
0.04, 76.53, C(C(=O)O)C(=O)O, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3258.27/T + (0.79) + (0.01*T) + (0.26*log(T)), -, 62390.11 - (-0.14/T**2) - (-4.93/T)
0.01, 80.98, C(CC(=O)O)C(=O)O, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3669.52/T + (1.69) + (0.0*T) + (0.4*log(T)), -, 70264.77 - (-0.09/T**2) - (-7.62/T)
0.01, 85.42, C(CC(=O)O)CC(=O)O, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4080.77/T + (2.59) + (0.0*T) + (0.54*log(T)), -, 78139.43 - (-0.05/T**2) - (-10.31/T)
0.0, 89.87, C(CCC(=O)O)CC(=O)O, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4492.02/T + (3.48) + (-0.0*T) + (0.68*log(T)), -, 86014.09 - (0.0/T**2) - (-12.99/T)
0.0, 94.31, C(CCC(=O)O)CCC(=O)O, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4903.27/T + (4.38) + (-0.0*T) + (0.82*log(T)), -, 93888.75 - (0.05/T**2) - (-15.68/T)
0.0, 98.75, C(CCCC(=O)O)CCC(=O)O, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5314.51/T + (5.28) + (-0.0*T) + (0.96*log(T)), -, 101763.42 - (0.1/T**2) - (-18.37/T)
0.0, 103.2, C(CCCC(=O)O)CCCC(=O)O, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5725.76/T + (6.17) + (-0.01*T) + (1.1*log(T)), -, 109638.08 - (0.14/T**2) - (-21.05/T)
0.0, 107.64, C(CCCCC(=O)O)CCCC(=O)O, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6137.01/T + (7.07) + (-0.01*T) + (1.24*log(T)), -, 117512.74 - (0.19/T**2) - (-23.74/T)
0.01, 85.42, CC(CC(=O)O)C(=O)O, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4080.77/T + (2.59) + (0.0*T) + (0.54*log(T)), -, 78139.43 - (-0.05/T**2) - (-10.31/T)
0.0, 89.87, CC(CCC(=O)O)C(=O)O, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4492.02/T + (3.48) + (-0.0*T) + (0.68*log(T)), -, 86014.09 - (0.0/T**2) - (-12.99/T)
0.0, 94.31, CC(C)(CCC(=O)O)C(=O)O, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4903.27/T + (4.38) + (-0.0*T) + (0.82*log(T)), -, 93888.75 - (0.05/T**2) - (-15.68/T)
0.0, 99.04, CC1(C(CC1C(=O)O)CC(=O)O)C, 9, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5813.04/T + (7.95) + (-0.01*T) + (1.0*log(T)), -, 111309.28 - (0.2/T**2) - (-19.06/T)
0.0, 94.6, CC1(C(CC1C(=O)O)C(=O)O)C, 8, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5401.79/T + (7.06) + (-0.01*T) + (0.85*log(T)), -, 103434.61 - (0.15/T**2) - (-16.37/T)
0.0, 85.04, C(CC(=O)O)C(=O)C(=O)O, 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4094.52/T + (3.11) + (0.0*T) + (0.26*log(T)), -, 78402.63 - (-0.06/T**2) - (-5.0/T)
0.0, 85.04, C(C(=O)CC(=O)O)C(=O)O, 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4094.52/T + (3.11) + (0.0*T) + (0.26*log(T)), -, 78402.63 - (-0.06/T**2) - (-5.0/T)
0.0, 89.48, C(CC(=O)C(=O)O)CC(=O)O, 6, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4505.76/T + (4.01) + (0.0*T) + (0.4*log(T)), -, 86277.3 - (-0.01/T**2) - (-7.69/T)
0.0, 89.48, C(CC(=O)O)C(=O)CC(=O)O, 6, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4505.76/T + (4.01) + (0.0*T) + (0.4*log(T)), -, 86277.3 - (-0.01/T**2) - (-7.69/T)
0.0, 102.82, C(CC(=O)CCCC(=O)O)CC(=O)O, 9, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5739.51/T + (6.7) + (-0.01*T) + (0.82*log(T)), -, 109901.28 - (0.13/T**2) - (-15.75/T)
0.0, 123.78, C(CCCCCCCO)CCCCCCC(=O)O, 15, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8119.83/T + (13.47) + (-0.03*T) + (1.94*log(T)), -, 155480.13 - (0.48/T**2) - (-37.09/T)
0.0, 128.23, C(CCCCCCCC(=O)O)CCCCCCCO, 16, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8531.08/T + (14.37) + (-0.03*T) + (2.08*log(T)), -, 163354.79 - (0.53/T**2) - (-39.78/T)
0.0, 137.11, CCCCCCC(CCCCCCCCCCC(=O)O)O, 18, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9353.57/T + (16.17) + (-0.03*T) + (2.36*log(T)), -, 179104.12 - (0.62/T**2) - (-45.15/T)
